index,filename,title,story
1,cheki_01_cork_pin.png,画鋲で留めた一枚,ファンが自分だけの大切な一瞬をコルクボードに留めている。
2,cheki_02_washi_tape_corner.png,マステで貼った余白,手作りで集めた推しの記録が、少し不器用な貼り方まで思い出になる。
3,cheki_03_layered_memories.png,重なるチェキ,日々の小さな記録が重なって、自分だけの応援の壁になる。
4,cheki_04_pin_and_ticket.png,半券とチェキ,イベントの記憶と未公開の一瞬を一緒に残す。
5,cheki_05_glossy_flash.png,光沢の反射,チェキ特有の白枠と光沢が、手元にある本物感を作る。
6,cheki_06_handmade_deco.png,手作りデコ,ファンが自分で飾ったことで、ただの写真が所有物になる。
7,cheki_07_cork_grid.png,コルクの小さな展示,集めた写真を自分だけの小さな展示として並べる。
8,cheki_08_string_clip.png,紐に留めた一枚,部屋の中でそっと飾る推しの一瞬。
9,cheki_09_corner_shadow.png,写真の角の影,使い捨てカメラの粗い質感と角の影が、リアルな日常感を残す。
10,cheki_10_collectors_cluster.png,推し活クラスタ,チェキ・ピン・小物が集まり、ファンの手作りコレクションになる。
