index,filename,title,story
1,cheki_abs_01_pin_frame.png,画鋲と白枠,一枚のチェキを画鋲で留めた記憶を、最小限の枠と点で表す。
2,cheki_abs_02_tape_corner.png,マステの角,手作りで貼った不完全な角が、自分だけの所有感になる。
3,cheki_abs_03_cork_dots.png,コルクの粒,コルクボードの粒とチェキ枠を合わせ、集める行為を記号化する。
4,cheki_abs_04_gloss_streak.png,光沢の線,チェキ特有のツヤを一本の反射線だけで残す。
5,cheki_abs_05_layered_frames.png,重なる白枠,複数の記録が重なって応援の時間になる。
6,cheki_abs_06_pin_shadow.png,押し留めた影,画鋲で留めた一点が、流れる時間を手元に固定する。
7,cheki_abs_07_handmade_cluster.png,手作りクラスタ,テープ・ピン・白枠を小さく集め、推し活の手作り感を表す。
8,cheki_abs_08_string_clip.png,紐とクリップ,部屋に飾ったチェキを線と小さな留め具だけで抽象化する。
9,cheki_abs_09_bottom_margin.png,厚い下余白,チェキらしい下の白余白をロゴの主役にする。
10,cheki_abs_10_board_marker.png,小さな展示板,コルクボード上の一枚の展示として、収集と特別感をまとめる。
