index,filename,title,story
1,lapsell_type_01_backstage_gap.png,幕間の余白,スポットライトの手前にある静かな余白を、文字間の間として表す。
2,lapsell_type_02_practice_trace.png,練習の跡,何度も書き直した線が最後にLapsellの形へ整う。
3,lapsell_type_03_owned_moment.png,所有する一瞬,小さな印を文字の中に忍ばせ、自分だけが持つ記録を表す。
4,lapsell_type_04_unreleased_label.png,未公開ラベル,公開前の本物を預かるラベルのように、控えめで正式な文字にする。
5,lapsell_type_05_growth_path.png,成長の軌跡,文字の流れそのものを、点から線へ育つ軌道として見せる。
6,lapsell_type_06_daily_raw.png,日常の素線,飾りすぎない手触りで、日常の記録がそのまま残る感じを出す。
7,lapsell_type_07_hidden_effort.png,見えない努力,薄い下書き線を気配として残し、完成の裏にある努力を表す。
8,lapsell_type_08_special_quiet.png,静かな特別感,派手な光ではなく、控えめな光沢と一点のアクセントで特別感を作る。
9,lapsell_type_09_stage_edge.png,ステージ端の価値,文字のベースラインをステージ端に見立て、中央ではない場所の価値を表す。
10,lapsell_type_10_collectible_mark.png,集めるロゴ,ロゴ自体を小さな所有物・コレクションカードの印のように扱う。
